left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,Activity
358.65,72.12,19.88,15.29,322.89,10.58,283.09,47.89,Sitting
359.66,71.4,20.01,15.29,322.9,10.58,283.09,47.89,Sitting
359.66,71.4,20.01,15.29,322.9,10.58,283.09,47.89,Sitting
354.55,72.27,20.01,15.29,322.76,10.55,283.64,49.45,Sitting
355.08,72.27,20.27,15.29,322.68,10.53,283.09,51.0,Sitting
354.08,72.19,19.8,15.41,323.29,10.58,283.43,52.66,Sitting
355.08,71.4,19.8,15.29,323.29,10.51,283.43,52.66,Sitting
354.13,72.19,19.85,15.36,323.29,10.51,283.43,52.6,Sitting
354.18,72.57,19.9,14.83,323.29,10.53,283.49,51.3,Sitting
354.18,72.57,19.9,14.83,323.15,10.53,284.04,51.3,Sitting
354.18,72.57,20.0,14.83,323.05,10.53,283.43,51.3,Sitting
359.78,73.39,20.0,15.31,323.05,10.96,283.13,51.86,Sitting
355.19,73.39,20.37,15.31,322.89,10.96,283.68,51.86,Sitting
0.3,72.85,20.37,15.48,322.89,11.0,283.73,51.86,Sitting
0.18,72.85,20.3,15.48,322.62,10.98,283.73,53.42,Sitting
4.44,71.97,19.8,15.48,322.62,10.98,283.73,53.42,Sitting
4.44,71.97,19.8,15.48,322.62,11.0,283.73,51.86,Sitting
4.44,71.52,19.42,14.88,323.0,11.0,283.77,51.86,Sitting
4.4,71.28,19.38,14.99,322.85,11.08,284.33,51.86,Sitting
8.8,71.28,19.38,14.95,322.85,11.03,284.33,50.28,Sitting
11.98,71.63,18.83,14.41,322.85,11.03,284.33,50.28,Sitting
11.98,71.63,18.83,14.41,322.85,11.06,284.33,48.81,Sitting
11.98,71.63,18.83,14.41,322.85,11.06,284.28,48.81,Sitting
11.98,71.63,18.83,14.41,322.85,11.06,284.58,48.81,Sitting
11.98,70.91,18.83,14.41,322.85,11.06,284.58,49.1,Sitting
15.4,70.98,18.66,14.34,322.48,11.03,284.54,50.64,Sitting
11.43,70.15,18.66,14.28,322.48,11.03,284.54,50.64,Sitting
7.63,70.98,19.17,13.98,322.62,10.67,283.93,49.87,Sitting
7.9,70.98,19.07,13.98,322.87,10.67,283.93,49.87,Sitting
4.4,71.81,19.28,14.05,322.89,10.67,283.93,49.87,Sitting
4.4,71.81,19.28,14.09,322.74,10.74,284.48,49.93,Sitting
4.36,71.81,19.24,14.09,322.89,10.74,283.87,49.93,Sitting
4.36,72.35,19.24,13.92,322.89,10.69,283.87,49.93,Sitting
4.36,71.64,19.24,13.92,322.89,10.69,283.87,49.93,Sitting
8.44,71.64,19.24,13.92,322.89,10.69,283.87,49.93,Sitting
8.44,71.82,19.24,13.92,322.89,10.69,283.87,49.93,Sitting
12.49,70.47,19.24,13.32,322.89,10.69,283.87,49.99,Sitting
16.16,69.88,19.73,12.9,322.38,10.33,284.38,49.12,Sitting
16.16,70.41,19.73,12.74,322.38,10.28,284.38,49.12,Sitting
16.16,69.29,19.73,12.21,322.38,10.35,284.38,48.83,Sitting
16.01,68.45,19.9,12.21,322.4,10.35,284.38,48.83,Sitting
16.01,69.29,19.99,12.21,322.3,10.37,283.78,47.36,Sitting
15.4,68.18,19.99,12.74,322.3,10.37,284.08,47.36,Sitting
15.35,68.7,20.22,12.58,322.17,10.32,284.05,47.42,Sitting
15.35,68.7,20.22,12.21,322.17,9.96,284.05,46.46,Sitting
14.82,67.88,19.69,12.26,322.17,10.0,284.05,48.09,Sitting
15.35,67.33,19.85,11.89,322.19,9.65,284.05,45.51,Sitting
15.35,67.07,20.22,11.47,322.32,9.24,283.2,42.87,Sitting
12.05,67.07,20.22,11.1,322.32,8.87,283.2,41.72,Sitting
14.82,66.8,20.06,11.1,321.95,8.87,283.17,41.72,Sitting
15.43,66.8,20.06,11.1,321.95,8.85,283.17,43.58,Sitting
15.96,67.33,20.22,10.95,321.97,8.8,283.17,43.3,Sitting
15.96,67.33,20.22,10.95,321.97,9.22,283.17,44.15,Sitting
12.46,67.6,20.22,10.95,321.97,9.22,283.17,44.15,Sitting
12.46,67.86,20.22,10.99,321.97,9.26,283.17,45.84,Sitting
12.46,67.86,20.32,10.99,321.87,8.83,282.58,46.74,Sitting
12.45,67.86,20.21,10.99,322.2,8.83,282.3,46.74,Sitting
12.98,67.9,20.21,10.91,322.2,9.18,282.3,47.53,Sitting
8.94,68.18,20.21,11.06,322.2,9.22,282.3,47.53,Sitting
4.85,68.42,20.11,11.63,322.3,8.79,282.9,48.53,Sitting
4.85,68.46,20.11,11.5,322.3,8.7,282.9,46.68,Sitting
4.85,68.46,20.11,11.91,322.3,9.51,282.9,50.19,Sitting
0.68,68.76,20.7,12.43,322.15,9.53,283.44,48.47,Sitting
1.04,68.27,20.32,12.18,322.53,9.85,283.48,47.68,Sitting
1.3,68.27,20.27,12.55,322.53,10.19,283.48,50.19,Sitting
357.21,68.01,20.12,11.99,322.77,9.79,283.48,49.58,Sitting
0.72,68.27,19.59,11.47,322.77,9.77,283.48,51.32,Sitting
4.81,68.54,19.59,12.08,322.77,9.85,283.48,49.42,Sitting
4.81,69.33,19.59,12.12,322.77,9.85,283.48,49.42,Sitting
8.38,69.33,19.59,12.12,322.63,9.89,284.03,46.24,Sitting
11.93,69.33,19.69,12.12,322.53,9.89,283.43,46.24,Sitting
14.82,69.09,19.69,12.12,322.53,9.89,283.43,46.18,Sitting
14.27,69.05,19.69,12.21,322.53,9.96,283.43,46.24,Sitting
13.78,69.05,19.69,12.21,322.53,9.94,283.43,47.8,Sitting
13.78,69.05,19.69,12.21,322.53,9.94,283.43,47.8,Sitting
13.78,69.05,19.31,12.58,322.9,10.3,283.47,48.73,Sitting
13.78,69.86,18.94,12.62,323.13,10.32,284.07,47.13,Sitting
13.78,70.72,18.94,12.99,323.13,10.69,284.12,48.04,Sitting
13.78,70.72,18.94,12.94,323.13,10.64,284.12,46.52,Sitting
14.32,71.55,18.98,13.35,323.13,11.0,284.12,47.41,Sitting
14.32,71.01,18.61,13.52,323.51,11.06,284.47,47.41,Sitting
17.38,71.01,18.61,13.52,323.51,11.08,284.41,46.02,Sitting
17.38,70.14,18.61,13.52,323.51,11.08,284.41,46.02,Sitting
14.32,70.68,18.98,12.98,323.13,10.66,284.37,45.11,Sitting
13.83,69.38,19.08,13.01,322.88,10.21,284.42,45.87,Sitting
13.83,69.38,19.46,13.01,322.51,10.21,284.37,45.87,Sitting
13.87,68.52,19.6,12.64,322.1,9.84,284.93,44.89,Sitting
15.67,68.52,19.06,12.64,321.94,10.26,285.58,45.87,Sitting
12.89,68.76,19.44,12.28,321.56,9.89,285.53,44.89,Sitting
10.61,68.76,19.98,11.91,321.2,9.53,285.47,44.13,Sitting
10.91,68.76,19.98,11.55,321.2,9.18,285.52,41.48,Sitting
10.91,68.76,20.36,11.55,321.18,9.18,285.22,41.48,Sitting
10.91,67.98,20.36,11.5,321.18,9.18,285.22,41.42,Sitting
11.78,68.48,20.52,12.07,321.2,9.21,285.22,39.92,Sitting
8.81,69.0,20.52,11.91,321.36,9.15,284.68,39.86,Sitting
5.44,69.48,20.52,11.84,321.51,9.56,284.14,42.13,Sitting
1.63,69.48,20.52,11.47,321.51,9.19,284.14,41.3,Sitting
357.31,69.76,20.9,11.43,321.13,9.19,284.1,41.3,Sitting
357.31,70.25,20.9,11.35,321.29,9.2,283.57,41.24,Sitting
357.31,70.25,20.9,11.35,321.29,9.2,283.57,41.3,Sitting
356.69,69.47,20.9,11.32,321.65,9.2,283.3,41.3,Sitting
0.45,68.68,20.21,10.79,321.9,9.2,283.3,41.3,Sitting
0.99,68.68,20.37,10.42,321.92,8.83,283.3,40.47,Sitting
1.53,68.68,20.63,10.42,321.84,8.83,282.7,40.47,Sitting
1.53,68.68,20.63,10.42,321.84,8.83,282.65,40.53,Sitting
1.16,68.15,20.53,10.99,322.1,9.3,282.65,42.98,Sitting
0.79,69.05,20.68,11.52,322.15,9.7,281.51,45.39,Sitting
1.76,69.9,21.22,11.47,322.15,10.05,281.51,46.12,Sitting
6.52,70.24,21.22,12.0,322.15,10.41,281.51,50.19,Sitting
6.04,69.77,20.84,12.47,322.25,10.8,281.53,52.34,Sitting
5.98,69.77,20.68,12.84,322.35,11.14,282.13,54.7,Sitting
9.53,70.12,20.14,12.95,322.71,11.13,282.16,53.04,Sitting
9.58,70.12,20.3,13.27,322.46,11.45,282.16,52.17,Sitting
9.58,69.6,20.2,13.38,322.56,11.04,282.76,50.12,Sitting
8.76,69.6,20.03,13.38,322.39,11.04,283.37,50.12,Sitting
8.76,69.6,20.03,13.38,322.39,11.01,283.32,51.64,Sitting
9.31,69.6,20.58,13.38,322.39,11.01,283.32,51.64,Sitting
9.58,69.6,20.58,13.38,322.39,11.01,283.32,51.64,Sitting
9.58,69.6,20.58,13.38,322.39,11.04,283.37,50.12,Sitting
9.58,70.47,20.58,13.38,322.39,11.04,283.37,50.41,Sitting
9.53,70.47,20.52,13.38,322.39,11.01,283.37,51.86,Sitting
